,title,overview,original_language,release_date,popularity,vote_count,vote_average
2788,No Half Measures: Creating the Final Season of Breaking Bad,A documentary about the making of season five of the acclaimed AMC series Breaking Bad.,en,2013-11-26,32.641,93,8.5
2789,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",en,1986-12-19,33.497,3715,7.7
2790,Status Update,"After being uprooted by his parents' separation and unable to fit into his new hometown, a teenager stumbles upon a magical app that causes his social media updates to come true.",en,2018-02-09,24.107,445,7.4
2791,Maggie Simpson in The Force Awakens from Its Nap,"In a daycare far, far away… but still in Springfield, Maggie is on an epic quest for her stolen pacifier. Her adventure brings her face-to-face with young Padawans, Sith Lords, familiar droids, Rebel scum, and an ultimate battle against the dark side, in this original short celebrating the Star Wars galaxy.",en,2021-05-04,34.13,144,6.7
2792,The Ant Bully,"Fed up with being targeted by the neighborhood bully, 10-year-old Lucas Nickle vents his frustrations on the anthill in his front yard ... until the insects shrink him to the size of a bug with a magic elixir. Convicted of ""crimes against the colony,"" Lucas can only regain his freedom by living with the ants and learning their ways.",en,2006-07-28,29.297,1169,5.7
2793,Zombies: A Living History,Zombies: are they real? Every culture creates its own version of a zombie. There have been diseases in history that have mimicked behavior of a zombie virus. The plausibility is there. You would never be up against one zombie.you would be up against thousands or millions of zombies. How would you survive?,en,2011-10-25,28.648,10,6.7
2794,Aladdin and the King of Thieves,"Legendary secrets are revealed as Aladdin and his friends—Jasmine, Abu, Carpet and, of course, the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.",en,1996-05-20,30.093,1620,6.3
2795,Cha Cha Real Smooth,"Fresh out of college and stuck at his New Jersey home without a clear path forward, 22-year-old Andrew begins working as a party starter for bar/bat mitzvahs—where he strikes up a unique friendship with a young mom and her teenage daughter.",en,2022-06-17,31.488,130,7.1
2796,Homefront,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter, Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",en,2013-11-12,30.595,2933,7.0
2797,Lassie Come Home,"12-year-old Florian and his beloved dog Lassie live in an idyllic village in the German countryside. When Florian's father loses his job, the family have to move into a small apartment where there are no dogs allowed. Lassie is given away to another family, but Florian and Lassie yearn to be reunited again so Florian sets out on an adventure to find his best friend.",de,2020-02-20,25.938,86,6.6
2798,A Man Called Otto,"The story of Otto Anderson, a grumpy widower who is very set in his ways. When a lively young family moves in next door, he meets his match in quick-witted and very pregnant Marisol, leading to an unlikely friendship that will turn his world upside-down.",en,2022-12-25,32.662,0,0.0
2799,A Taste of Hunger,"Maggie and Carsten love each other, they have two wonderful children and run their own gourmet restaurant; Malus. They want it all. And they have it all. Almost. They are missing the coveted Michelin Star. It has been their dream, on which they gambled everything to win. One day Carsten receives a letter saying that his wife loves somebody else. But who sent the letter and why? In their continuous passion and pursuit for the ultimate recognition, they forget that the meals of life are best enjoyed together.",da,2021-06-24,26.907,26,6.1
2800,Pornocracy: The New Sex Multinationals,Never before have we watched as much porn as today yet the traditional porn industry is dying. The arrival of web sites showing amateur clips has transformed the way porn is made and consumed. Behind this transformation lies one opaque multinational.,fr,2017-03-12,27.747,30,6.7
2801,Dragon Blade,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds.",zh,2015-02-19,33.044,470,6.3
2802,Upgrade,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",en,2018-05-31,27.048,3550,7.5
2803,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",en,2014-02-26,29.242,12719,8.1
2804,The Scorpion King 3: Battle for Redemption,"Since his triumphant rise to power in the original blockbuster ""The Scorpion King"", Mathayus' kingdom has fallen and he's lost his queen to plague. Now an assassin for hire, he must defend a kingdom from an evil tyrant and his ghost warriors for the chance to regain the power and glory he once knew. Starring Ron Perlman (""Hellboy"") and Billy Zane (""Titanic""), and featuring 6-time WWE champion Dave Bautista and UFC star Kimbo Slice, ""The Scorpion King 3: Battle for Redemption"" takes ""The Mummy"" phenomenon to an all-new level of epic action and non-stop adventure.",en,2012-01-17,37.339,277,4.5
2805,The Ridiculous 6,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",en,2015-12-11,30.841,1190,5.1
2806,Re:ZERO -Starting Life in Another World- Memory Snow,"Subaru and friends finally get a moment of peace, and Subaru goes on a certain secret mission that he must not let anyone find out about! However, even though Subaru is wearing a disguise, Petra and other children of the village immediately figure out who he is. Now that his mission was exposed within five seconds of it starting, what will happen with Subaru's ""date course"" with Emilia?",ja,2018-10-06,28.347,155,7.2
2807,The Festival of Troubadours,An unexpected reunion between a traveling musician and his son opens old wounds as the two set out on a long journey to a troubadour festival.,tr,2022-09-02,32.329,13,5.8
2808,Blame!,"In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Killy the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world.",ja,2017-05-20,29.341,241,6.4
2809,Barbie in 'A Christmas Carol',"On Christmas Eve, Kelly is reluctant to go to a Christmas Eve ball, so Barbie tells her the story of Eden Starling, a glamourous singing diva in the Victorian England and the owner of a theatre house. However, Eden is self-centred and loves only herself. She is frequently accompanied by her snooty cat, Chuzzlewit. She does not believe in Christmas and orders all her employees to work on Christmas.",en,2008-11-03,34.33,435,7.1
2810,Night at the Museum,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits.",en,2006-10-20,36.28,8932,6.6
2811,6 Bullets,An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.,en,2012-09-11,31.332,269,6.0
2812,A Kismet Christmas,"Sarah is a children’s book author who returns to her hometown, where she reconnects with her family and Travis, her teenage crush. She soon discovers that a long-held family legend might actually be true.",en,2022-10-23,25.575,1,8.0
2813,The Lost Prince,"Djibi lives alone with Sofia, his 8-year-old daughter. Every night, he invents a story to put him to sleep. When Sofia falls asleep, these extraordinary stories come to life somewhere in an imaginary world inhabited by knights, pirates and other dragons. In this world that belongs only to them, Sofia is always the princess to save, and the brave Prince is none other than Djibi himself.  But 3 years later, the entry of Sofia to the college will mark the end of her childhood. To the despair of her father, she no longer needs her stories at night. On the one hand, Djibi will have to accept that his daughter will grow up and move away from him. On the other hand, in the World of Stories, the Prince will have to face the most epic of all his adventures. Find your destiny in a world where it no longer has a place.",fr,2020-02-12,34.343,293,5.8
2814,Neighbors 2: Sorority Rising,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,en,2016-05-04,30.026,3966,5.8
2815,They Live Inside Us,"Seeking inspiration for a new writing project, a man spends Halloween night in a notoriously haunted house. He soon realizes he is living in his own horror story.",en,2020-10-06,28.21,29,5.8
2816,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",en,2006-10-04,33.167,12822,8.2
2817,Child 44,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",en,2015-03-15,32.997,1429,6.3
2818,Taxi 2,A cabdriver and a cop race to Paris to rescue a love interest and the Japanese minister of defense from kidnappers.,fr,2000-03-25,25.065,1456,6.2
2819,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",en,2005-11-06,28.31,2759,6.4
2820,Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?",en,1977-06-17,32.049,543,4.5
2821,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",en,1993-06-11,30.802,14058,7.9
2822,Mars Attacks!,"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",en,1996-12-12,22.055,4672,6.4
2823,Source Code,"When decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, he discovers he's part of a mission to find the bomber of a Chicago commuter train.",en,2011-03-30,28.002,7156,7.3
2824,Please Enlighten Me,"A  story between Lin Zhi Xiao, a graduating student from the Conservatory of Music, and her father's attending physician Gu Wei. Fourth-year student Lin Zhi Xiao hits rock bottom right before her graduation. Her father is hospitalized due to cancer leaving her no choice but to give up the chance to work at a reputable company. She also bears the pain from a relationship that has ended. All her beautiful imaginations towards love and her future are shattered in an instant. Just then, her father's doctor Gu Wei walks into Lin Zhi Xiao's life. When love begins, people often don't know that it's love. Two people who have been hurt before and no longer believe in love start to get to know each other. There are uncertainties and setbacks, misunderstandings and downturns, but in the process of falling in love, they become more assured that they have found the person to whom they can entrust the rest of their lives.",zh,2021-02-03,30.367,18,6.7
2825,Bizarre,A wife escapes her pressure-filled marriage only to have her husband haunt her literally and figuratively.,it,1987-01-16,27.804,17,4.8
2826,The Nutcracker and the Four Realms,"When Clara’s mother leaves her a mysterious gift, she embarks on a journey to four secret realms—where she discovers her greatest strength could change the world.",en,2018-10-26,26.805,1887,6.1
2827,Gone in Sixty Seconds,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",en,2000-06-09,34.543,3697,6.4
2828,My Extraordinary Summer with Tess,"As the youngest of the family, Sam is haunted by the notion that someday he could become the last remaining survivor, all alone. On a family vacation at the beach, he meets the unconventional Tess, who carries her own secrets around with her and shows him how the present moment can win out over memories and anxiety about what’s yet to come.",nl,2019-07-03,33.756,40,7.2
2829,A Serbian Film,"Milos, a retired porn star, leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",sr,2010-06-16,37.591,1554,5.5
2830,An American Tail: Fievel Goes West,"Some time after the Mousekewitz's have settled in America, they find that they are still having problems with the threat of cats. That makes them eager to try another home out in the west, where they are promised that mice and cats live in peace. Unfortunately, the one making this claim is an oily con artist named Cat R. Waul who is intent on his own sinister plan.",en,1991-11-21,30.288,618,6.3
2831,Young & Beautiful,"Isabelle, a 17-year-old student, loses her virginity during a quick holiday romance. When she returns home, she begins a secret life as a prostitute for a year.",fr,2013-08-21,24.542,1029,6.4
2832,Son of a Gun,"Locked up for a minor crime, 19 year old JR quickly learns the harsh realities of prison life. Protection, if you can get it, is paramount. JR soon finds himself under the watchful eye of Australia's most notorious criminal, Brendan Lynch, but protection comes at a price.",en,2014-10-16,28.541,669,6.4
2833,"¿Nos casamos? Sí, mi amor","Guille decides it's time to take the next step and proposes to his girlfriend Bea, but things get complicated and nothing goes as planned.",es,2022-02-03,30.136,1,2.0
2834,The Darkest Minds,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",en,2018-07-25,27.743,2333,7.0
2835,Doula,"After the sudden death of their midwife, an L.A. couple hires her hippie son to be their live-in doula.",en,2022-04-21,28.272,13,4.8
2836,How to Be a Latin Lover,An aging Latin lover gets dumped by his sugar mama and must fend for himself in a harsh world.,en,2017-03-06,35.239,547,6.9
2837,The Debt Collector,"A classically-trained martial artist goes to work as a debt collector for the mob. The job seems easy enough, until one “client” pulls him into a situation deeper than could ever be expected.",en,2018-06-05,27.291,161,5.9
2838,Hunter x Hunter: The Last Mission,"Isaac Netero is the chairman of the Hunter Association. Decades ago he sealed away Jed, a Hunter who had mastered the use of On, the dark ""shadow"" of Nen. Now On users have reappeared at the Heaven's Arena ""Battle Olympia"" tournament. For Netero, this is the last mission: to protect the Association and the world from a threat driven by hatred and the thirst for revenge. And he's going to need all the help he can get in order to succeed.",ja,2013-12-27,32.534,134,7.0
2839,Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,en,2005-05-17,28.967,11856,7.4
2840,The Hurricane Heist,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.,en,2018-02-28,21.287,866,5.7
2841,The Warriors Gate,"After a mysterious chest opens a gateway through time, teen gamer Jack is transported to an ancient empire terrorized by a cruel barbarian king. Jack will need all of his gaming skills as he battles to defeat the barbarian, protect a beautiful princess, and somehow find his way back home.",km,2016-11-18,22.783,298,6.6
2842,The Omen,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.",en,1976-06-25,32.924,1607,7.4
2843,Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,en,2002-08-02,22.224,4743,6.7
2844,Mr. Peabody & Sherman,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",en,2014-02-07,31.278,2065,6.7
2845,Gnomeo & Juliet,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",en,2011-01-13,30.775,1694,5.8
2846,Operation Merry Christmas: The Elf Con,"The plan of three small-time pickpockets to pull the heist of their lives during Christmas, posing as elves in a Christmas show in one of the most exclusive shopping centers in the city where they will collect private information from some wealthy families, then rob their homes while they enjoy their December vacation.",es,2021-12-11,25.349,34,6.9
2847,Warm Bodies,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",en,2013-01-31,27.772,5510,6.4
2848,Good Boys,A group of young boys on the cusp of becoming teenagers embark on an epic quest to fix their broken drone before their parents get home.,en,2019-08-14,29.082,1536,6.9
2849,Bāhubali 2: The Conclusion,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",te,2017-04-27,37.273,559,7.4
2850,Children of the Corn,A boy preacher named Isaac goes to a town in Nebraska called Gatlin and gets all the children to murder every adult in town.,en,1984-03-09,27.915,805,5.7
2851,Logan Lucky,"Trying to reverse a family curse, brothers Jimmy and Clyde Logan set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.",en,2017-08-17,37.623,2986,6.7
2852,Ghostland,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange . . .",en,2018-03-14,30.024,1964,7.4
2853,He's Just Not That Into You,"Remember that really cute girl/guy who said they'd call – and didn't? Maybe they lost your number. Maybe they're in the hospital. Maybe they're awed by your looks, brains or success. Or maybe... They're just not that into you.",en,2009-02-06,30.464,3162,6.5
2854,Curve,"Clinging to a smooth, curved surface high above a sentient abyss, a girl tries to cover the few feet back to safety without losing purchase and falling to her death.",en,2016-04-16,31.519,25,7.2
2855,The Day After Tomorrow,"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.",en,2004-05-26,39.16,6866,6.5
2856,The Raven,"A fictionalized account of the last days of Edgar Allan Poe's life, in which the poet is in pursuit of a serial killer whose murders mirror those in the writer's stories.",en,2012-03-09,33.215,1137,6.3
2857,Butterfly in Grey,"Dao was life sentenced from the guilty of murder at first degree which changed her world upside down, once young bright graduate with prosperous future with her boyfriend turned to be a convict in Area 8. Although the tough living among brutal seniority system and bad fellow inmates who keep taking advantages over her, she found the sincere friendships among convicts, the true companionships from friends who live outside.",th,2002-11-03,26.691,6,4.3
2858,The Iceman,"The true story of Richard Kuklinski, the notorious contract killer and family man.",en,2012-09-01,29.113,853,6.5
2859,Aloha Scooby-Doo!,"The Mystery Gang goes to Hawaii for the Big Kahuna of Hanahuna Surfing Contest. However, the gang and the locals find the island invaded by the vengeful Wiki Tiki spirit and his demons.",en,2005-01-01,34.009,352,7.2
2860,Unbreakable,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",en,2000-11-22,28.609,8035,7.1
2861,Every Day,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.",en,2018-02-22,22.768,2022,7.2
2862,Suicide Squad: Hell to Pay,Task Force X targets a powerful mystical object that they will risk their lives to steal.,en,2018-05-09,35.767,493,7.1
2863,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",en,1995-12-29,29.804,7122,7.6
2864,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",en,1996-05-22,33.654,7330,7.0
2865,Nerve,"Industrious high school senior Vee Delmonico has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",en,2016-06-27,27.26,6267,7.1
2866,Friends: The Reunion,"The cast of Friends reunites for a once-in-a-lifetime celebration of the hit series, an unforgettable evening filled with iconic memories, uncontrollable laughter, happy tears, and special guests.",en,2021-05-27,25.988,950,8.0
2867,Lawless,"Set in the Depression-era Franklin County, Virginia, a bootlegging gang is threatened by authorities who want a cut of their profits.",en,2012-08-29,32.956,2661,7.0
2868,The Unfamiliar,"A British Army doctor comes back from a war, thinking that she has PTSD only to discover that there is a more daunting malevolence at work making the life that she knew unfamiliar.",en,2020-08-21,27.944,74,5.9
2869,Ghosts of Girlfriends Past,"When notorious womanizer Connor Mead attends his brother Paul's wedding, he is forced to re-evaluate his behavior as he comes face-to-face with the ghosts of girlfriends past, present, and future, along with his deceased uncle. The experience changes his attitude and allows him to reconnect with his first and only love, Jenny.",en,2009-05-01,26.002,2025,5.9
2870,Hellbound: Hellraiser II,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned.",en,1988-12-23,27.75,859,6.4
2871,Peppermint,"A grieving mother transforms herself into a vigilante following the murders of her husband and daughter, eluding the authorities to deliver her own personal brand of justice.",en,2018-09-06,29.76,1723,6.7
2872,Pokémon: Lucario and the Mystery of Mew,"In the legendary past, before Poké Balls were invented, an aura-guiding hero Pokémon named Lucario sensed two groups of armies about to clash, and a threat of a massive war in front of Oldoran Castle in Kanto that would leave no survivors. He transferred this message to his master, the legendary hero Arlon, while he was being attacked by a violent group of Hellgar. During the battle, his sense of sight was lost and he was rendered unable to see. He used the detection of his Aura, and so with the offensive Wave Bomb, he eliminated them. Though by the threat, the queen of Rota, Lady Rin was resolute to die with her civilians, and so Arlon made a choice.",ja,2005-07-16,24.499,240,6.9
2873,Seven Days War,"In the town of Saima, when summer is about to begin, a group of six high school students intend to live a secret adventure by spending seven carefree days in a ruined mining facility.",ja,2019-12-13,31.423,47,6.7
2874,At the End of the Tunnel,A paraplegic computer engineer that moves in a wheelchair and works in his basement starts hearing noises and voices of bank-robbers.,es,2016-04-21,23.502,317,7.1
2875,Harry Potter: A History Of Magic,"A thrilling journey through legends, belief and folklore, this film goes behind the scenes with the British Library as they search to tell that story through objects in their collection, in an ambitious new exhibition: Harry Potter: A History Of Magic.  J.K. Rowling, who is lending unseen manuscripts, drawings and drafts from her private archives (which will sit alongside treasures from the British Library, as well as original drafts and drawings from Jim Kay) talks about some of the personal items she has lent to the exhibition and gives new insight into her writing, looking at some of the objects from the exhibition that have fired her imagination.",en,2017-10-28,28.043,43,6.7
2876,Green Lantern: First Flight,"Test pilot Hal Jordan finds himself recruited as the newest member of the intergalactic police force, The Green Lantern Corps.",en,2009-07-28,32.994,349,6.9
2877,Robert Reborn,"In 1951 USSR, as the Cold War intensifies, infamous dictator Joseph Stalin is suffering with illness and his death is imminent. Meanwhile, KGB agent Stoichkov discovers a mysterious stage show in the Baltic region featuring three creepy dolls - Robert, Kalashnikov and Miss Cyclops. Spellbound by the lifelike animation displayed by the dolls on stage, Stoichkov investigates the show's host and discovers he is a German Toymaker who owns a mystical book which holds the key to eternal life. Believing the Toymaker and his book will help Stalin escape death, Stoichkov kidnaps him and they board a plane to Moscow. But the Toymaker's living creations have followed them. When the plane is in mid air all hell breaks loose as Stoichkov and his team of KGB agents realize the three dolls are on board and will stop at nothing to rescue their puppet master. Fasten your seat belt and prepare for blood soaked toy terror at 30,000 feet.",en,2019-06-04,24.754,25,3.9
2878,Bad Teacher,"A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her.",en,2011-05-16,26.44,4157,5.6
2879,The Corpse of Anna Fritz,"Anna Fritz is a beautiful and famous actress. Suddenly her body is found in a hotel and the news of her death goes around the planet. The young, shy caretaker Pau works at the hospital where they carried the body of Anna Fritz. He and his friends  decide to take pictures of the body of Anna Fritz.  They decide they could make love to her and nobody would know. They are in front of Anna Fritz ... and can do with it what  they want.",es,2015-03-15,30.988,459,7.0
2880,Veronica,"Madrid, June 1991. After celebrating a session of Ouija with her friends, Verónica is besieged by dangerous supernatural presences that threaten to harm her entire family.",es,2017-08-25,30.04,1479,6.2
2881,Young Mother 5,"Ji-suk, a wealthy mother, wants to send her son, Se-hyuk, to the medical school. While looking for a competent private education coordination, Although it succeeded in recruiting a high-ranking entrance exam coordinator,'Starring', which only a few elite students selected. After hearing the rumors,'Namjae,' the father of Euntae, a high school examinee next door, hears rumors and comes to contact the main character. Like this, the parents of Se-hyeok and Eun-tae's neighbors 'Starring', who was in a difficult situation after entering a strange competition Eventually, I would share the day of the week to go to both houses to teach Se-hyuk and Eun-tae. Although they will agree with the two families, Eun Tae, who is a senior high school student, is in medical school. Not interested and only busy with high school girlfriends Se-hyuk starts talking to a beautiful tutor, starring than the entrance exam.",ko,2020-04-03,31.399,5,6.0
2882,Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,en,2016-07-27,30.387,5047,6.3
2883,The Legend of La Llorona,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse.",en,2022-01-07,23.225,31,5.0
2884,The Butterfly Effect,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.",en,2004-01-17,34.571,6355,7.5
2885,The Power of the Dog,"A domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.",en,2021-11-17,25.222,2045,6.8
2886,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",en,2019-03-27,28.729,3856,6.7
2887,New Nightmare,A demonic force has chosen Freddy Krueger as its portal to the real world. Can Heather Langenkamp play the part of Nancy one last time and trap the evil trying to enter our world?,en,1994-10-13,29.662,1107,6.4
2888,Arthur Rambo,"Who is this Karim D. ? The new young writer whom the media can't get enough of? Or his alias, Arthur Rambo, the author of old hate-fuellled messages which are dredged up, one day, from social media websites?",fr,2022-02-02,19.083,10,5.6
2889,Prison Break: The Final Break,"The movie covers the events which occurred in between the downfall of The Company and the finale of the TV series (SEASON 4). It details the arrest and incarceration of Sara Tancredi, the final escape plan which Michael devises for Sara, and reveals the ultimate fate of Gretchen Morgan.",en,2009-05-24,30.464,542,7.5
2890,Pocahontas II: Journey to a New World,"When news of John Smith's death reaches America, Pocahontas is devastated. She sets off to London with John Rolfe, to meet with the King of England on a diplomatic mission: to create peace and respect between the two great lands. However, Governor Ratcliffe is still around; he wants to return to Jamestown and take over. He will stop at nothing to discredit the young princess.",en,1998-08-04,34.095,1178,5.5
2891,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",en,2001-10-24,32.607,10742,7.8
2892,A Dirty Shame,"Sylvia Stickles runs a convenience store with her husband and mother-in-law. One day, Sylvia is hit on the head and transforms from an uptight prude to a sex-crazed lunatic. As she goes on a rampage through town, Sylvia attracts the attention of Ray Ray, a sexual healer and tow truck driver in search of the world's greatest orgasm. Their sexual revolution, however, causes a class war in their tiny Baltimore community.",en,2004-09-12,27.206,230,5.4
2893,Leatherface: The Texas Chainsaw Massacre III,Two college students driving coast to coast are lured off the main highway and onto a deserted Texas road. Here they are stalked by the menacing Leatherface and his demented family...a bizarre cannibalistic clan with blood on their hands and a feast on their minds. The students’ only chance for escape is a survivalist with enough firepower to blast Leatherface and the rest of the grisly predators to hell. A depraved shocker of intense terror from the gruesome beginning to the bloody finish.,en,1990-01-12,27.148,401,5.3
